Id,FIPS,County_State,Total,White,Black,AmInd_Alaska,Asian,PacIsl
0500000US04021,4021,"Pinal County, Arizona",383842,289329,17564,20286,6521,2043
0500000US04025,4025,"Yavapai County, Arizona",211061,196409,774,4780,1621,0
0500000US04027,4027,"Yuma County, Arizona",196509,148389,3844,2499,2140,107
0500000US05007,5007,"Benton County, Arkansas",222894,192358,2331,4225,6217,432
0500000US05031,5031,"Craighead County, Arkansas",96771,81079,12587,520,1255,0
0500000US05045,5045,"Faulkner County, Arkansas",113980,97663,12025,288,903,0
0500000US05051,5051,"Garland County, Arkansas",96145,81917,8079,747,910,115
0500000US05069,5069,"Jefferson County, Arkansas",77358,32394,42802,398,268,0
0500000US05085,5085,"Lonoke County, Arkansas",68634,61028,4491,179,333,0
0500000US05119,5119,"Pulaski County, Arkansas",383632,232716,136525,1771,7854,50
0500000US05125,5125,"Saline County, Arkansas",107532,98472,5658,813,586,0
0500000US05131,5131,"Sebastian County, Arkansas",125920,105215,8431,907,5180,0
0500000US05143,5143,"Washington County, Arkansas",204123,161290,7593,2007,4932,4331
0500000US05145,5145,"White County, Arkansas",77350,70581,3669,258,241,0
0500000US06001,6001,"Alameda County, California",1513952,692377,186016,7819,400567,12058
0500000US06007,6007,"Butte County, California",220072,184882,3087,3162,9448,374
